supplier_id,company_name,website,source_url,source_type,category,subcategory,target_components,likely_hts_families,country_focus,manufacturing_footprint,tariff_advantage_hypothesis,verification_status,evidence_needed,buyer_fit,premium_fit,outreach_priority,lead_score,notes,last_reviewed,crm_status,contact_owner,next_action
TFC-0011,Belden,https://www.belden.com,https://www.thomasnet.com/suppliers/usa/cables-9670902,Thomasnet category,Electronics,Industrial cable,industrial cable; ethernet cable; connectivity products,8544,United States; Global,US-headquartered with global footprint,Domestic/alternative-source candidate for selected product lines,Unverified candidate,COO by cable family; HTS; manufacturing site; compliance docs,industrial networking and automation buyers,Premium cable category; buyer education content,2,82,Recognized cable brand; verify before origin claims.,2026-07-07,not_contacted,"",find decision-maker and send founding supplier email
TFC-0012,Southwire,https://www.southwire.com,https://www.thomasnet.com/suppliers/usa/cables-9670902,Thomasnet category,Electrical,Wire and cable,building wire; industrial cable; power cable,8544,United States; Global,US-headquartered manufacturing candidate,Domestic cable candidate; verify SKU origin,Unverified candidate,COO; HTS; mill/manufacturing site; UL files,"electrical, construction, and industrial buyers",Premium electrical cable category,2,81,Good anchor supplier for US wire/cable content.,2026-07-07,not_contacted,"",find decision-maker and send founding supplier email
TFC-0013,Chicago Nut & Bolt Inc.,https://www.cnb-inc.com,https://www.thomasnet.com/articles/top-suppliers/bolts-manufacturers-suppliers-companies/,Thomasnet article,Industrial,Fasteners,custom bolts; metric bolts; special fasteners,7318,United States,Illinois custom manufacturer,Domestic custom fastener candidate,Unverified candidate,COO; HTS; material origin if relevant; ISO docs,buyers seeking US custom bolts and special fasteners,Verified US fastener badge; emergency RFQ placement,1,91,Thomasnet identifies custom manufacturing capabilities and broad materials.,2026-07-07,not_contacted,"",find decision-maker and send founding supplier email
TFC-0014,Hanger Bolt & Stud Co. Inc.,https://www.hangerbolt.com,https://www.thomasnet.com/suppliers/usa/stainless-steel-fasteners-27790559,Thomasnet category,Industrial,Fasteners,hanger bolts; studs; stainless fasteners; custom fasteners,7318,United States,Indiana manufacturer candidate,Domestic fastener candidate,Unverified candidate,COO; HTS; manufacturing location; material certs,OEMs seeking specialty fasteners,Category sponsorship; documented origin badge,1,88,Good stainless/specialty fastener target from Thomasnet category.,2026-07-07,not_contacted,"",find decision-maker and send founding supplier email
TFC-0015,Associated Fastening Products Inc.,https://www.afpi.com,https://www.thomasnet.com/articles/top-suppliers/bolts-manufacturers-suppliers-companies/,Thomasnet article,Industrial,Fasteners,bolts; nuts; screws; fastening products,7318,United States,Illinois supplier candidate,Domestic distribution/manufacturing candidate; verify origin by line,Unverified candidate,COO; HTS; manufacturer of record; country by SKU,industrial buyers needing fastener sourcing alternatives,Premium fastener distributor profile,2,76,May be distributor-heavy; useful if they can supply documented-origin lines.,2026-07-07,not_contacted,"",find decision-maker and send founding supplier email
TFC-0016,Benchmark Fasteners,https://www.benchmarkfast.com,https://www.thomasnet.com/articles/top-suppliers/bolts-manufacturers-suppliers-companies/,Thomasnet article,Industrial,Fasteners,bolts; industrial fasteners; specialty fasteners,7318,United States,Illinois supplier candidate,Domestic/stocking candidate; verify manufacturer origin,Unverified candidate,COO; HTS; line card origin; inventory location,buyers needing fastener alternatives,Basic listing; RFQ lead capture,3,70,Good data enrichment candidate.,2026-07-07,not_contacted,"",find decision-maker and send founding supplier email
TFC-0017,MW Components,https://www.mwcomponents.com,https://www.thomasnet.com/suppliers/usa/fasteners-27541200,Thomasnet category,Industrial,Precision components,precision fasteners; springs; metal components; bellows,7318; 7320; 8302,United States,US manufacturing network candidate,Domestic precision component candidate; verify by division/SKU,Unverified candidate,COO; HTS; plant data; certifications,"medical, aerospace, electronics, and industrial OEMs",Premium multi-category placement,1,89,High-value supplier for precision component marketplace.,2026-07-07,not_contacted,"",find decision-maker and send founding supplier email
TFC-0018,PennEngineering,https://www.pemnet.com,https://www.thomasnet.com/suppliers/usa/fasteners-27541200,Thomasnet category,Industrial,Fasteners,PEM fasteners; self-clinching fasteners; threaded inserts,7318,United States; Global,US-headquartered/global manufacturing,Alternative/domestic candidate for selected product lines,Unverified candidate,COO by part number; HTS; authorized distributor data,electronics enclosure and sheet-metal OEMs,Sponsored PEM-compatible search pages,2,84,Strong buyer demand around self-clinching fasteners; origin varies.,2026-07-07,not_contacted,"",find decision-maker and send founding supplier email
TFC-0019,Brighton-Best International,https://www.brightonbest.com,https://www.thomasnet.com/articles/top-suppliers/fastener-manufacturers-and-suppliers/,Thomasnet article,Industrial,Fasteners,socket products; bolts; nuts; washers; threaded rod,7318,United States; Global,Distributor/importer with global sourcing,Alternative-source distributor candidate; origin must be documented,Unverified candidate,COO per SKU; HTS; source country; certifications,buyers needing documented fastener alternatives,Paid distributor listing; inventory visibility,3,72,"Good for breadth, but not a verification badge until origin docs exist.",2026-07-07,not_contacted,"",find decision-maker and send founding supplier email
TFC-0020,Fastenal,https://www.fastenal.com,https://www.thomasnet.com/suppliers/usa/fasteners-27541200,Thomasnet category,Industrial,Fasteners and MRO,fasteners; hardware; MRO components,7318; multiple,United States,US branch network; global sourcing,Distributor candidate for documented-origin product lines,Unverified candidate,COO per SKU; HTS; domestic product lines; supplier source data,maintenance and OEM buyers,Enterprise distributor partnership; RFQ routing,3,75,Large distributor; useful if API/data partnership is possible.,2026-07-07,not_contacted,"",find decision-maker and send founding supplier email
TFC-0021,NN Inc.,https://www.nninc.com,https://www.thomasnet.com/suppliers/usa/precision-machining-45620408,Thomasnet category,Industrial,Precision machining,precision machined parts; metal components; assemblies,7326; 8487; varies by part,United States,US manufacturing candidate,Domestic precision machining candidate; classify by finished part,Unverified candidate,COO; part drawings; HTS per component; quality certs,OEMs seeking US machined components,Verified manufacturer profile; premium RFQs,1,88,Thomasnet lists precision CNC machining capabilities.,2026-07-07,not_contacted,"",find decision-maker and send founding supplier email
TFC-0022,Marshall Manufacturing Company,https://www.marshallmfg.com,https://www.thomasnet.com/suppliers/usa/cnc-machining-45330503,Thomasnet category,Industrial,CNC machining,CNC machined parts; precision components,7326; 8487; varies by part,United States,Minnesota custom manufacturer,Domestic machining candidate,Unverified candidate,COO; HTS per part; AS/ISO certifications; capacity data,buyers seeking custom machined components,Verified US machining badge; RFQ priority,1,87,Thomasnet identifies manufacturer/custom manufacturer profile.,2026-07-07,not_contacted,"",find decision-maker and send founding supplier email
TFC-0023,Fairchild Precision Parts,https://www.fairchildparts.com,https://www.thomasnet.com/company/fairchild-precision-parts-470323/profile,Thomasnet profile,Industrial,Precision machining,precision machined parts; contract manufacturing,7326; 8487; varies by part,United States,Connecticut contract manufacturer,Domestic machining candidate,Unverified candidate,COO; part HTS; AS9100/ISO documents; production site,"aerospace, defense, medical, and industrial buyers",High-trust verified profile,1,90,Public profile references AS9100D and ISO 9001:2015.,2026-07-07,not_contacted,"",find decision-maker and send founding supplier email
TFC-0024,Summit City Precision Machining Inc.,https://www.summitcityprecision.com,https://www.thomasnet.com/suppliers/usa/precision-machining-45620408,Thomasnet category,Industrial,Precision machining,CNC milling; turning; wire EDM; tooling and fixtures,7326; 8487; varies by part,United States,Indiana custom manufacturer,Domestic machining candidate,Unverified candidate,COO; HTS per part; certs; machine/capacity data,"automotive, aerospace, and industrial buyers",Founding machining supplier,2,81,Good launch candidate for custom RFQs.,2026-07-07,not_contacted,"",find decision-maker and send founding supplier email
TFC-0025,Gent Machine Co.,https://www.gentmachine.com,https://www.thomasnet.com/suppliers/usa/cnc-machining-45330503,Thomasnet category,Industrial,Swiss machining,precision CNC Swiss parts; screw machine products,7326; 8487; varies by part,United States,US manufacturer candidate,Domestic precision machining candidate,Unverified candidate,COO; HTS per part; certs; material certs,buyers needing small precision turned parts,Premium precision machining listing,2,80,Good for high-volume small machined components.,2026-07-07,not_contacted,"",find decision-maker and send founding supplier email
TFC-0026,Metalcraft Manufacturing Company,https://www.metalcraftmfg.com,https://www.thomasnet.com/suppliers/usa/cnc-machining-45330503,Thomasnet category,Industrial,CNC machining,large CNC machined parts; fabricated components,7326; 8487; varies by part,United States,US manufacturer candidate,Domestic machining/fabrication candidate,Unverified candidate,COO; HTS per part; equipment/capacity; certs,"agriculture, construction, transportation, oil and gas buyers",RFQ priority listing,2,80,Thomasnet result references broad production capabilities.,2026-07-07,not_contacted,"",find decision-maker and send founding supplier email
TFC-0027,Techmetals Inc.,https://www.techmetals.com,https://www.thomasnet.com/articles/top-suppliers/production-machining-companies-suppliers/,Thomasnet article,Industrial,Production machining and finishing,precision machining; metal finishing; engineered components,7326; 8487; varies by part,United States,US supplier candidate,Domestic process/component candidate,Unverified candidate,COO; HTS per finished component; certs; finishing specs,"aerospace, defense, medical, automotive, agriculture buyers",Verified specialty supplier profile,2,82,Thomasnet article notes diverse industry fit.,2026-07-07,not_contacted,"",find decision-maker and send founding supplier email
TFC-0028,Jerpbak-Bayless Company,https://www.jerpbakbayless.com,https://www.thomasnet.com/suppliers/usa/cnc-machining-45330503,Thomasnet category,Industrial,CNC machining,large CNC turning; milling; custom threading; gun drilling,7326; 8487; varies by part,United States,US manufacturer candidate,Domestic heavy machining candidate,Unverified candidate,COO; HTS per part; machine capacity; certs,industrial equipment buyers needing large machined parts,Premium heavy machining category,2,79,Good differentiated machining capability.,2026-07-07,not_contacted,"",find decision-maker and send founding supplier email
TFC-0029,Protolabs,https://www.protolabs.com,https://www.thomasnet.com/suppliers/usa/precision-cnc-machining-97003472,Thomasnet category,Industrial,Digital manufacturing,CNC machined parts; injection molded parts; sheet metal; 3D printed parts,3926; 7326; 8487; varies by part,United States,US and global manufacturing network,Domestic quick-turn candidate when US facility is selected,Unverified candidate,COO by order; HTS; manufacturing location; material certs,prototype and bridge-production buyers,Marketplace partnership; quick-turn RFQ funnel,2,82,"Useful for buyer demand, but origin must be order-specific.",2026-07-07,not_contacted,"",find decision-maker and send founding supplier email
TFC-0030,Xometry,https://www.xometry.com,https://www.thomasnet.com/suppliers/usa/machined-parts-57340606,Thomasnet category,Industrial,Manufacturing marketplace,CNC parts; sheet metal; injection molding; additive parts,3926; 7326; 8487; varies by part,United States; Global,distributed manufacturing network,Can route to domestic suppliers if buyer requires origin; documentation required,Unverified candidate,supplier facility; COO; HTS per part; network supplier docs,buyers needing alternate manufacturing capacity,Strategic marketplace/API partnership,3,74,Potential partner more than ordinary supplier.,2026-07-07,not_contacted,"",find decision-maker and send founding supplier email
TFC-0031,Swagelok,https://www.swagelok.com,https://www.thomasnet.com/suppliers/usa/fittings-30221200,Thomasnet category,Industrial,Fittings and fluid components,tube fittings; valves; regulators; hose assemblies,7307; 8481; 3917,United States; Global,US-headquartered with global manufacturing,Domestic/alternative-source candidate for selected product lines,Unverified candidate,COO per part; HTS; material certs; distributor data,"process, semiconductor, energy, and industrial buyers",Premium fluid-control category,2,85,Strong buyer recognition; origin must be product-specific.,2026-07-07,not_contacted,"",find decision-maker and send founding supplier email
TFC-0032,Parker Hannifin,https://www.parker.com,https://www.thomasnet.com/suppliers/usa/fittings-30221200,Thomasnet category,Industrial,Fittings and motion/control,fittings; valves; hose; fluid connectors; motion components,7307; 8481; 4009; 3917,United States; Global,US-headquartered global manufacturing,Domestic/nearshore candidate only where documented,Unverified candidate,COO per part; HTS; product family origin; distributor authorization,"industrial, mobile equipment, aerospace, and HVAC buyers",Enterprise supplier profile; category sponsorship,2,84,Broad relevance; needs granular product-origin data.,2026-07-07,not_contacted,"",find decision-maker and send founding supplier email
TFC-0033,SSP Fittings Corp.,https://www.myssp.com,https://www.thomasnet.com/suppliers/usa/fittings-30221200,Thomasnet category,Industrial,Tube fittings and valves,instrumentation fittings; valves; tubing products,7307; 8481,United States,US supplier/manufacturer candidate,Domestic instrumentation fitting candidate; verify per product,Unverified candidate,COO; HTS; material certs; manufacturing site,process instrumentation and OEM buyers,Verified origin badge; premium fitting category,1,86,Strong focused category target.,2026-07-07,not_contacted,"",find decision-maker and send founding supplier email
TFC-0034,Dixon Valve & Coupling,https://www.dixonvalve.com,https://www.thomasnet.com/suppliers/usa/fittings-30221200,Thomasnet category,Industrial,Fittings and couplings,hose couplings; fittings; valves; clamps,7307; 8481; 7326,United States; Global,US-headquartered with manufacturing/distribution footprint,Domestic product-line candidate; verify origin,Unverified candidate,COO per SKU; HTS; manufacturing location; material certs,"industrial hose, process, and MRO buyers",Premium fittings/couplings category,2,83,Good marketplace breadth and RFQ fit.,2026-07-07,not_contacted,"",find decision-maker and send founding supplier email
TFC-0035,Apollo Valves,https://www.apollovalves.com,https://www.thomasnet.com/suppliers/usa/valves-91270400,Thomasnet category,Industrial,Valves,ball valves; check valves; safety relief valves; actuators,8481,United States,US supplier/manufacturer candidate,Domestic valve candidate for selected products,Unverified candidate,COO by valve series; HTS; certifications; manufacturing site,"plumbing, industrial, HVAC, and OEM buyers",Verified valve category; RFQ routing,2,82,Good fit for HVAC/industrial categories.,2026-07-07,not_contacted,"",find decision-maker and send founding supplier email
TFC-0036,Brennan Industries,https://www.brennaninc.com,https://www.thomasnet.com/suppliers/usa/hydraulic-fittings-30231400,Thomasnet category,Industrial,Hydraulic fittings,hydraulic fittings; adapters; instrumentation fittings,7307; 8481,United States,US operations with global sourcing,Alternative/domestic candidate depending on SKU origin,Unverified candidate,COO per SKU; HTS; source country; material certs,hydraulic and mobile equipment buyers,Premium hydraulic fittings listing,2,80,Good for documented-origin hydraulic fitting searches.,2026-07-07,not_contacted,"",find decision-maker and send founding supplier email
TFC-0037,Sanmina,https://www.sanmina.com,https://www.thomasnet.com/suppliers/usa/printed-circuit-board-assemblies-96168855,Thomasnet category,Electronics,Electronics manufacturing services,PCB assemblies; box build; cable assemblies; systems integration,8534; 8517; 8543; varies,United States; Mexico; Global,global EMS footprint including North America,Nearshore/US manufacturing candidate depending on program,Unverified candidate,manufacturing site per program; COO; HTS; certifications,electronics OEMs seeking alternate EMS capacity,Enterprise EMS profile; RFQ partnership,2,84,Good for larger buyers; not a simple catalog supplier.,2026-07-07,not_contacted,"",find decision-maker and send founding supplier email
TFC-0038,Jabil,https://www.jabil.com,https://www.thomasnet.com/suppliers/usa/printed-circuit-board-assemblies-96168855,Thomasnet category,Electronics,Electronics manufacturing services,PCB assemblies; electromechanical assemblies; supply chain services,8534; 8517; 8543; varies,United States; Mexico; Global,global EMS footprint including North America,Nearshore/US manufacturing candidate depending on program,Unverified candidate,manufacturing site; COO; HTS; certifications; program scope,enterprise electronics buyers,Enterprise partnership; verified program pages,3,76,Large EMS; likely strategic account rather than SMB listing.,2026-07-07,not_contacted,"",find decision-maker and send founding supplier email
TFC-0039,Benchmark Electronics,https://www.bench.com,https://www.thomasnet.com/suppliers/usa/printed-circuit-board-assemblies-96168855,Thomasnet category,Electronics,Electronics manufacturing services,PCB assemblies; precision technology; systems integration,8534; 8517; 8543; varies,United States; Mexico; Global,North America and global EMS footprint,Nearshore/US EMS candidate if program is documented,Unverified candidate,manufacturing site; COO; HTS; quality certs,"medical, aerospace, defense, industrial electronics buyers",Premium EMS category; RFQ partnership,2,80,Good fit for high-compliance buyer segments.,2026-07-07,not_contacted,"",find decision-maker and send founding supplier email
TFC-0040,Kimball Electronics,https://www.kimballelectronics.com,https://www.thomasnet.com/suppliers/usa/printed-circuit-board-assemblies-96168855,Thomasnet category,Electronics,Electronics manufacturing services,PCB assemblies; contract manufacturing; box build,8534; 8517; 8543; varies,United States; Mexico; Global,global EMS footprint including North America,Nearshore/US EMS candidate by program,Unverified candidate,manufacturing site; COO; HTS; certifications,"automotive, medical, industrial electronics buyers",Verified EMS profile; RFQ routing,2,80,Strong vertical fit for automotive/medical electronics.,2026-07-07,not_contacted,"",find decision-maker and send founding supplier email
TFC-0041,Creation Technologies,https://www.creationtech.com,https://www.thomasnet.com/suppliers/usa/printed-circuit-board-assemblies-96168855,Thomasnet category,Electronics,Electronics manufacturing services,PCB assemblies; cable assemblies; box build,8534; 8517; 8543; varies,United States; Mexico; Canada; Global,North American EMS footprint,North American sourcing candidate; verify program origin,Unverified candidate,manufacturing site; COO; HTS; certifications,OEMs seeking North American EMS options,Premium EMS listing; buyer RFQ routing,2,81,Good candidate for USMCA/nearshore positioning if documented.,2026-07-07,not_contacted,"",find decision-maker and send founding supplier email
TFC-0042,Mack Technologies,https://www.macktech.com,https://www.thomasnet.com/suppliers/usa/printed-circuit-board-assemblies-96168855,Thomasnet category,Electronics,Electronics manufacturing services,PCB assemblies; cable assemblies; electromechanical assemblies,8534; 8544; 8543; varies,United States,US EMS candidate,Domestic EMS candidate; verify program specifics,Unverified candidate,COO; HTS; manufacturing site; certifications,"defense, medical, industrial electronics buyers",Verified domestic EMS badge,1,86,Strong domestic EMS seed supplier.,2026-07-07,not_contacted,"",find decision-maker and send founding supplier email
TFC-0043,Plexus,https://www.plexus.com,https://www.thomasnet.com/suppliers/usa/printed-circuit-board-assemblies-96168855,Thomasnet category,Electronics,Electronics manufacturing services,PCB assemblies; product realization; supply chain services,8534; 8517; 8543; varies,United States; Mexico; Global,global EMS footprint including North America,Nearshore/US candidate by program,Unverified candidate,manufacturing site; COO; HTS; certifications,"healthcare, aerospace, defense, industrial electronics buyers",Enterprise EMS profile,3,76,Good strategic candidate; likely longer sales cycle.,2026-07-07,not_contacted,"",find decision-maker and send founding supplier email
TFC-0044,Hammond Manufacturing,https://www.hammfg.com,https://www.thomasnet.com/suppliers/usa/enclosures-26070805,Thomasnet category,Electrical,Enclosures,electrical enclosures; electronic enclosures; racks; transformers,8538; 9403; 8504,Canada; United States,North American manufacturer candidate,Canada/USMCA candidate for selected products if rules are met,Unverified candidate,COO per SKU; HTS; manufacturing site; product certs,"electronics, electrical, controls, and HVAC buyers",Premium enclosure category; USMCA candidate badge,1,88,Excellent category fit for tariff-advantaged North American sourcing.,2026-07-07,not_contacted,"",find decision-maker and send founding supplier email
TFC-0045,Bud Industries,https://www.budind.com,https://www.thomasnet.com/suppliers/usa/enclosures-26070805,Thomasnet category,Electrical,Enclosures,electronic enclosures; NEMA boxes; racks; plastic and metal boxes,8538; 3926; 7616,United States,US supplier candidate with global sourcing possible,Domestic/alternative-source candidate for selected product lines,Unverified candidate,COO per SKU; HTS; manufacturing source; certifications,electronics enclosure buyers,Sponsored enclosure listing; RFQ routing,2,82,Good for enclosure category launch.,2026-07-07,not_contacted,"",find decision-maker and send founding supplier email
TFC-0046,nVent HOFFMAN,https://hoffman.nvent.com,https://www.thomasnet.com/suppliers/usa/enclosures-26070805,Thomasnet category,Electrical,Industrial enclosures,electrical enclosures; cooling; racks; accessories,8538; 8415; 9403,United States; Global,US-headquartered/global manufacturing,Domestic product-line candidate where origin is documented,Unverified candidate,COO per SKU; HTS; manufacturing site; certifications,"industrial control, electrical, and HVAC buyers",Premium industrial enclosure category,2,82,High buyer recognition; verify product origin.,2026-07-07,not_contacted,"",find decision-maker and send founding supplier email
TFC-0047,Rittal North America,https://www.rittal.com/us-en,https://www.thomasnet.com/suppliers/usa/enclosures-26070805,Thomasnet category,Electrical,Industrial enclosures,control cabinets; IT racks; climate control; enclosure accessories,8538; 8415; 9403,United States; Global,North American operations with global manufacturing,Alternative/nearshore candidate depending on product line,Unverified candidate,COO per SKU; HTS; manufacturing site; certifications,industrial automation and data-center buyers,Premium enclosure/controls category,3,76,Useful brand presence but origin likely varies.,2026-07-07,not_contacted,"",find decision-maker and send founding supplier email
TFC-0048,Polycase,https://www.polycase.com,https://www.thomasnet.com/suppliers/usa/enclosures-26070805,Thomasnet category,Electrical,Plastic and electronic enclosures,plastic enclosures; electronic boxes; NEMA enclosures; custom enclosures,3926; 8538,United States,US supplier/manufacturer candidate,Domestic enclosure candidate; verify by series,Unverified candidate,COO per series; HTS; molding/manufacturing location; certs,electronics and IoT enclosure buyers,Verified enclosure listing; paid category placement,1,86,Strong SMB supplier fit for marketplace conversion.,2026-07-07,not_contacted,"",find decision-maker and send founding supplier email
TFC-0049,Timken,https://www.timken.com,https://www.thomasnet.com/suppliers/usa/bearings-4040203,Thomasnet category,Industrial,Bearings and motion components,tapered roller bearings; mounted bearings; power transmission products,8482; 8483,United States; Global,US-headquartered/global manufacturing,Domestic/alternative-source candidate depending on bearing family,Unverified candidate,COO per part; HTS; manufacturing site; distributor authorization,"industrial, automotive, energy, and heavy equipment buyers",Premium bearing category; documented origin badge,2,82,High-demand category; origin must be SKU-specific.,2026-07-07,not_contacted,"",find decision-maker and send founding supplier email
TFC-0050,RBC Bearings,https://www.rbcbearings.com,https://www.thomasnet.com/suppliers/usa/bearings-4040203,Thomasnet category,Industrial,Bearings,plain bearings; roller bearings; aerospace and industrial bearings,8482; 8483,United States; Global,US-headquartered manufacturing candidate,Domestic/specialty bearing candidate if product line origin is documented,Unverified candidate,COO per part; HTS; plant; certs,"aerospace, defense, industrial equipment buyers",Verified specialty bearing listing,1,86,Good high-value supplier target.,2026-07-07,not_contacted,"",find decision-maker and send founding supplier email
TFC-0051,New Hampshire Ball Bearings,https://www.nhbb.com,https://www.thomasnet.com/suppliers/usa/bearings-4040203,Thomasnet category,Industrial,Precision bearings,precision ball bearings; aerospace bearings; bearing assemblies,8482,United States,US manufacturer candidate,Domestic precision bearing candidate,Unverified candidate,COO; HTS; plant data; quality certs,"aerospace, defense, medical, and precision equipment buyers",High-trust verified bearing profile,1,88,Strong domestic precision bearing target.,2026-07-07,not_contacted,"",find decision-maker and send founding supplier email
TFC-0052,Kaydon Bearings,https://www.kaydonbearings.com,https://www.thomasnet.com/suppliers/usa/bearings-4040203,Thomasnet category,Industrial,Bearings,thin-section bearings; slewing ring bearings; custom bearings,8482,United States; Global,US manufacturing candidate with global parent footprint,Domestic bearing candidate if product family origin is documented,Unverified candidate,COO per part; HTS; plant; quality certs,"robotics, aerospace, medical, and industrial buyers",Premium bearing category,2,82,Good specialized bearing fit.,2026-07-07,not_contacted,"",find decision-maker and send founding supplier email
TFC-0053,Auburn Bearing & Manufacturing,https://www.auburnbearing.com,https://www.thomasnet.com/suppliers/usa/bearings-4040203,Thomasnet category,Industrial,Bearings,thrust bearings; custom bearings; bearing assemblies,8482,United States,US manufacturer candidate,Domestic bearing candidate,Unverified candidate,COO; HTS; manufacturing site; certs,industrial equipment and machinery buyers,Verified US bearing badge,1,86,Strong smaller manufacturer candidate for marketplace conversion.,2026-07-07,not_contacted,"",find decision-maker and send founding supplier email
